age,  sample_size, extraversion, agreeableness, conscentiousness, neuroticism, openness     
16_19,1007,53.01(9.86),48.61(10.61),42.76(10.97),50.47(10.86),50.45(10.43)
20_29,2216,51.58(9.93),50.00(10.11),47.88(10.11),50.10(10.36),51.08(10.21)
30_39,2590,49.70(10.33),50.43(10.02),50.35(10.21),49.92(10.03),49.79(10.16)
40_49,2625,48.54(10.94),50.91(10.03),50.82(10.62),49.39(10.34),48.64(10.56)
50_59,2220,47.47(11.03),51.32(10.51),50.80(10.99),48.99(10.81),48.06(11.45)
60_69,1697,46.98(11.29),50.98(11.37),49.24(12.32),47.87(11.17),46.28(12.54)
70_79,1250,45.56(12.35),51.43(11.96),47.20(13.21),46.25(11.22),44.27(13.58)
80_85,434,45.41(12.10),51.44(11.92),46.77(13.29),46.52(11.74),42.47(12.86)
16_19,1344,51.17(10.32),49.64(10.26),41.49(12.27),48.80(9.96),51.75(10.44)
20_29,2835,50.94(10.25),49.65(9.97),47.15(10.92),49.99(10.42),51.46(9.89)
30_39,3745,50.12(9.96),49.79(10.17),50.22(9.98),50.04(10.18),50.23(9.90)
40_49,4275,49.84(9.99),50.31(10.16),51.22(9.72),50.36(10.22),50.15(10.18)
50_59,3271,49.08(9.79),50.21(10.48),51.16(10.23),51.10(10.44),50.43(10.68)
60_69,3293,48.27(10.05),50.56(10.45),50.23(10.78),51.51(10.32),49.43(11.07)
70_79,1683,47.54(10.28),52.46(10.63),50.46(10.69),51.38(10.48),47.66(11.62)
80_84,403,47.57(10.44),54.16(10.23),49.84(11.42),50.74(11.41),45.56(11.95)
